783090.787505 798431.719150 911638.777498
477392.304471 628865.540219 364781.657167
141600.625038 606962.080749 16301.016965
129788.585331 108807.739752 998915.206517
637546.837433 524281.531985 493578.593646
400224.324535 891521.151745 283312.750779
525990.416478 86055.767723 192211.621552
457698.101312 63096.011755 238278.273105
375203.559576 760241.196738 512529.317109
930800.963896 720945.413165 284290.268081
440099.787028 880065.893035 829193.587678
956459.405136 588634.125638 657298.314125
684211.114420 910963.821152 482486.671782
641073.747332 431949.670538 619589.902603
187531.067121 276231.248806 556439.004220
495439.981924 760467.992213 984741.583428
294156.909089 232258.520670 584483.119787
164101.192783 745063.043126 74529.098393
797791.008328 732647.363719 656557.606513
520204.276814 78231.282197 69906.338014
51937.708036 157806.330344 999982.821616
870532.005265 72328.263900 4160.928000
913017.651682 819687.114251 359091.682733
530803.664164 757286.413026 304292.861908
35421.403274 747796.135137 833230.871304
903357.300712 983585.229700 666874.325482
649699.947006 248042.039084 629473.041965
74160.530470 633065.883896 223655.119512
719261.568171 113280.310598 471478.615963
434509.147365 3232.093935 344938.973188
481930.368624 304952.877272 712079.220484
673929.125903 637633.994403 347112.656051
740431.405943 202211.058328 920904.661984
260493.524837 877374.376061 686117.789317
666549.501895 288774.546637 775758.864366
827382.734123 331476.677848 188199.997743
121142.498900 685779.819616 383828.933421
793649.712354 548037.388497 297286.227349
162755.100606 273908.357011 864571.012092
180418.712203 684171.802937 727542.992415
178204.970128 221962.598885 498520.217767
908476.205444 622089.223350 836819.065953
608875.915611 258902.746139 151228.767173
331383.375304 91147.835148 427322.978094
487422.241977 157270.579455 883027.176434
829930.395786 394384.891571 244324.820876
897550.301061 136073.817735 410784.378590
865526.056936 720999.551880 49162.384219
865172.325362 93918.174818 99558.615035
51508.332691 53422.145418 457710.916143
578628.784441 529893.528630 595040.083423
609723.209555 525741.325099 618919.850418
923718.024087 169648.457909 481728.118132
344246.588093 814900.030991 659140.014580
308153.693249 221006.373723 198018.957145
200350.223125 401183.101441 315654.645947
555391.946265 14578.808632 380211.346135
552311.491973 919582.091592 685979.128298
532954.792787 843901.229417 618440.393128
801887.746057 677804.711087 152874.644700
700293.144297 567825.017696 1124.991469
181160.159607 341351.363765 667333.461250
157137.962938 503456.758407 828948.399337
868916.175564 547391.086580 738952.845846
494402.535102 552563.513116 939119.962146
935842.561378 324538.447078 874301.157023
262781.281175 604373.318696 470560.234385
412478.762845 611974.679126 596892.334675
700903.369440 518144.713312 832600.746346
814343.179252 384653.849266 637649.816045
17457.054564 717589.738241 573715.337874
58722.850747 74259.132546 640759.362442
737931.826920 462848.526190 438558.309812
333565.851318 536738.026192 219133.798398
183764.040495 458035.215368 780215.654828
331842.584777 402374.995259 560778.285944
653873.591977 916514.242697 210688.673630
646513.910435 592685.087751 676547.319888
18911.413215 343838.143948 9073.885967
173063.514509 447977.324347 487716.755534
882195.931117 366024.233725 899421.833384
865671.210488 623187.592288 718658.700434
626118.333503 176237.917425 126667.003553
461842.366768 648538.867104 915210.575491
436581.368844 293174.573331 244065.662506
813896.526730 753374.215650 356379.507516
699780.456865 327612.523302 889333.669320
698705.647995 681915.420680 904177.689393
591104.002671 53438.352665 101452.411922
889545.142788 945492.113744 56021.131167
584580.174682 476349.956484 815541.003588
264168.269924 633579.362289 538169.588889
400981.631712 307165.163687 679896.493506
214522.213012 759199.864753 258109.781605
